vacuum
lam[mu]  n       k  
       3.7497300      1.00000      0.00000
       3.7670380      1.00000      0.00000
       3.7844258      1.00000      0.00000
       3.8018940      1.00000      0.00000
       3.8194427      1.00000      0.00000
       3.8370725      1.00000      0.00000
       3.8547836      1.00000      0.00000
       3.8725764      1.00000      0.00000
       3.8904514      1.00000      0.00000
       3.9084090      1.00000      0.00000
       3.9264494      1.00000      0.00000
       3.9445730      1.00000      0.00000
       3.9627803      1.00000      0.00000
       3.9810717      1.00000      0.00000
       3.9994475      1.00000      0.00000
       4.0179081      1.00000      0.00000
       4.0364539      1.00000      0.00000
       4.0550854      1.00000      0.00000
       4.0738028      1.00000      0.00000
       4.0926066      1.00000      0.00000
       4.1114972      1.00000      0.00000
       4.1304750      1.00000      0.00000
       4.1495404      1.00000      0.00000
       4.1686938      1.00000      0.00000
       4.1879357      1.00000      0.00000
       4.2072663      1.00000      0.00000
       4.2266861      1.00000      0.00000
       4.2461956      1.00000      0.00000
       4.2657952      1.00000      0.00000
       4.2854852      1.00000      0.00000
